w,na ,neff,re(neff),imag(neff),loss,SA(1/RIU),rg(um)
1.32,1.32,1.4227763983541568-2.3175151715699026E-5i,1.422776398,2.32E-05,9.782595971,0.754754386,0.3
1.34,1.32,1.4219788221916048-2.4893385660435106E-5i,1.421978822,2.49E-05,10.35105537,1.354071207,0.3
1.36,1.32,1.4211787474596362-2.6719815447496555E-5i,1.421178747,2.67E-05,10.94712326,1.913522012,0.3
1.38,1.32,1.4203761477502503-2.8657760279236116E-5i,1.420376148,2.87E-05,11.57093947,2.436763918,0.3
1.4,1.32,1.4195710007175255-3.071047767546903E-5i,1.419571001,3.07E-05,12.22261123,2.926995216,0.3
0.6,1.33,1.4519320438295527-2.6158291523628887E-6i,1.451932044,2.62E-06,2.429201763,19.08727694,0.3
0.62,1.33,1.450911854989999-5.028034420830253E-6i,1.450911855,5.03E-06,4.518684455,-1.006276757,0.3
0.64,1.33,1.4499322641234669-3.7507269329117317E-6i,1.449932264,3.75E-06,3.265434189,-37.5995348,0.3
0.66,1.33,1.4489848015477063-4.099512197911637E-6i,1.448984802,4.10E-06,3.460937128,8.882860588,0.3
0.68,1.33,1.4480652513446377-6.234517609272891E-6i,1.448065251,6.23E-06,5.108570671,29.87133116,0.3
0.7,1.33,1.4471679097193455-1.1656019028323564E-5i,1.44716791,1.17E-05,9.278070542,44.18165509,0.3
0.72,1.33,1.4462872540594944-2.4072737549933815E-5i,1.446287254,2.41E-05,18.62938195,52.40737568,0.3
0.74,1.33,1.4454190134924856-6.249007473770316E-5i,1.445419013,6.25E-05,47.05272572,63.68991241,0.3
0.76,1.33,1.4446426957707357-1.5210811440158066E-4i,1.444642696,0.000152108,111.5178153,68.58401352,0.3
0.78,1.33,1.443912826429683-8.840824552252967E-5i,1.443912826,8.84E-05,63.15440266,-45.41387449,0.3
0.8,1.33,1.4430969440505588-4.272029827491128E-5i,1.443096944,4.27E-05,29.75430098,-361.3967749,0.3
0.82,1.33,1.4422857995272544-2.5783748453963032E-5i,1.4422858,2.58E-05,17.52014377,-263.3321423,0.3
0.84,1.33,1.4414856910969318-1.826709937431876E-5i,1.441485691,1.83E-05,12.11701841,-175.7273151,0.3
0.86,1.33,1.4406942970693974-1.439191648976616E-5i,1.440694297,1.44E-05,9.324501894,-127.0894945,0.3
0.88,1.33,1.4399094777404544-1.2198565663012908E-5i,1.439909478,1.22E-05,7.723809585,-97.82426955,0.3
0.9,1.33,1.4391296275765304-1.089634860452333E-5i,1.439129628,1.09E-05,6.745962802,-78.53034838,0.3
0.92,1.33,1.4383535133180598-1.0119668537288851E-5i,1.438353513,1.01E-05,6.12891958,-64.87030039,0.3
0.94,1.33,1.437580152554247-9.681249114877331E-6i,1.437580153,9.68E-06,5.738640305,-54.66847247,0.3
0.96,1.33,1.4368087411527894-9.477460924192232E-6i,1.436808741,9.48E-06,5.500804774,-46.73670108,0.3
0.98,1.33,1.4360386089369874-9.447531946014451E-6i,1.436038609,9.45E-06,5.371526911,-40.37722997,0.3
1,1.33,1.4352691908798303-9.554265339103928E-6i,1.435269191,9.55E-06,5.323567447,-35.15477124,0.3
1.02,1.33,1.4345000071352978-9.774211682659128E-6i,1.434500007,9.77E-06,5.33933329,-30.783748,0.3
1.04,1.33,1.4337306483976044-1.0092338834988424E-5i,1.433730648,1.01E-05,5.407094328,-27.0687166,0.3
1.06,1.33,1.4329607646719535-1.0498986268575822E-5i,1.432960765,1.05E-05,5.518829345,-23.87106163,0.3
1.08,1.33,1.432190056357255-1.0988045523456709E-5i,1.432190056,1.10E-05,5.668943871,-21.08945328,0.3
1.1,1.33,1.4314182669765472-1.1555830371987278E-5i,1.431418267,1.16E-05,5.85347726,-18.64788726,0.3
1.12,1.33,1.4306451771331488-1.2200350958017012E-5i,1.430645177,1.22E-05,6.069595704,-16.48808961,0.3
1.14,1.33,1.429870599411563-1.2920833003073099E-5i,1.429870599,1.29E-05,6.315258391,-14.56453305,0.3
1.16,1.33,1.4290943740278772-1.371739031960685E-5i,1.429094374,1.37E-05,6.588991839,-12.84106989,0.3
1.18,1.33,1.428316365088732-1.4590795859906688E-5i,1.428316365,1.46E-05,6.889733707,-11.28859691,0.3
1.2,1.33,1.4275364573537466-1.5542317634037902E-5i,1.427536457,1.55E-05,7.216722345,-9.8833975,0.3
1.22,1.33,1.4267545534207708-1.6573598253130102E-5i,1.426754553,1.66E-05,7.569417136,-8.605939509,0.3
1.24,1.33,1.4259705712706467-1.7686564374475603E-5i,1.425970571,1.77E-05,7.947439974,-7.439986941,0.3
1.26,1.33,1.4251844421207012-1.888335699418693E-5i,1.425184442,1.89E-05,8.350531545,-6.371932324,0.3
1.28,1.33,1.4243961085456036-2.0166276498993206E-5i,1.424396109,2.02E-05,8.778518128,-5.390287248,0.3
1.3,1.33,1.4236055228313558-2.1537738312255284E-5i,1.423605523,2.15E-05,9.231285994,-4.485288261,0.3
1.32,1.33,1.4228126455337444-2.3000236241652542E-5i,1.422812646,2.30E-05,9.708761398,-3.648588251,0.3
1.34,1.33,1.4220174442169933-2.4556311492662217E-5i,1.422017444,2.46E-05,10.21089471,-2.873012101,0.3
1.36,1.33,1.4212198923518344-2.6208525897441108E-5i,1.421219892,2.62E-05,10.73764765,-2.152361311,0.3
1.38,1.33,1.4204199683551262-2.7959438317113397E-5i,1.420419968,2.80E-05,11.28898299,-1.481256355,0.3
1.4,1.33,1.4196176547554302-2.9811583463022745E-5i,1.419617655,2.98E-05,11.86485599,-0.855008466,0.3
0.6,1.34,1.4519322699446788-2.1165385978445335E-6i,1.45193227,2.12E-06,1.965533295,16.81584848,0.3
0.62,1.34,1.450910439623336-5.0786303625489356E-6i,1.45091044,5.08E-06,4.564154926,26.4124947,0.3
0.64,1.34,1.4499340573871198-5.1609828111832046E-6i,1.449934057,5.16E-06,4.493222253,-59.95510002,0.3
0.66,1.34,1.4489876738616196-3.7353582445712187E-6i,1.448987674,3.74E-06,3.153506908,-24.05512336,0.3
0.68,1.34,1.4480694826759264-4.3721842077064384E-6i,1.448069483,4.37E-06,3.582572608,13.45751794,0.3
0.7,1.34,1.4471746827913428-6.506196903587103E-6i,1.447174683,6.51E-06,5.178865416,30.91286203,0.3
0.72,1.34,1.446298033713278-1.1456847546412745E-5i,1.446298034,1.15E-05,8.866211767,44.27989516,0.3
0.74,1.34,1.4454353567390736-2.2690200873146724E-5i,1.445435357,2.27E-05,17.08488592,54.72651164,0.3
0.76,1.34,1.4445799684665277-4.7786264662447556E-5i,1.444579968,4.78E-05,35.03442179,60.68721092,0.3
0.78,1.34,1.4437440738058331-1.285578551796452E-4i,1.443744074,0.000128558,91.83526382,71.34069559,0.3
0.8,1.34,1.4430862911246123-1.9711007846646958E-4i,1.443086291,0.00019711,137.2853851,62.34547051,0.3
0.82,1.34,1.4423349419264047-9.368064561663484E-5i,1.442334942,9.37E-05,63.65631368,-101.4350375,0.3
0.84,1.34,1.4415283383145558-5.03673826572119E-5i,1.441528338,5.04E-05,33.40992954,-452.3438691,0.3
0.86,1.34,1.4407290610103676-3.268253040251633E-5i,1.440729061,3.27E-05,21.17496421,-309.5492485,0.3
0.88,1.34,1.4399389492534016-2.4131723417826856E-5i,1.439938949,2.41E-05,15.27956989,-208.9289719,0.3
0.9,1.34,1.439155705397977-1.9453289124541056E-5i,1.439155705,1.95E-05,12.04359089,-152.5922848,0.3
0.92,1.34,1.4383774191176035-1.668432791543995E-5i,1.438377419,1.67E-05,10.10476812,-118.3178234,0.3
0.94,1.34,1.4376026888758564-1.497384012178097E-5i,1.437602689,1.50E-05,8.8758673,-95.6165406,0.3
0.96,1.34,1.436830460420242-1.3906913506441587E-5i,1.43683046,1.39E-05,8.071699458,-79.53475077,0.3
0.98,1.34,1.4360599111679675-1.326218364659971E-5i,1.436059911,1.33E-05,7.540400685,-67.54116717,0.3
1,1.34,1.4352903803785448-1.2913045463030431E-5i,1.43529038,1.29E-05,7.195055404,-58.23650533,0.3
1.02,1.34,1.4345213263907324-1.2783080376250089E-5i,1.434521326,1.28E-05,6.982980195,-50.79305907,0.3
1.04,1.34,1.4337522990794282-1.2824205432625392E-5i,1.433752299,1.28E-05,6.870725368,-44.69262268,0.3
1.06,1.34,1.4329829210899543-1.3005205751166726E-5i,1.432982921,1.30E-05,6.836232499,-39.59493613,0.3
1.08,1.34,1.4322128743686515-1.330536425103015E-5i,1.432212874,1.33E-05,6.86449314,-35.26740756,0.3
1.1,1.34,1.4314418900540375-1.3710748591730792E-5i,1.43144189,1.37E-05,6.9450271,-31.54550192,0.3
1.12,1.34,1.4306697406085993-1.4211955756914382E-5i,1.430669741,1.42E-05,7.070356082,-28.30935823,0.3
1.14,1.34,1.4298962335151717-1.4802691996414136E-5i,1.429896234,1.48E-05,7.235046286,-25.46942159,0.3
1.16,1.34,1.4291212061120613-1.547884999732313E-5i,1.429121206,1.55E-05,7.435088885,-22.957299,0.3
1.18,1.34,1.4283445212875288-1.6237891990239437E-5i,1.428344521,1.62E-05,7.667487973,-20.71975606,0.3
1.2,1.34,1.4275660638431025-1.707842666644741E-5i,1.427566064,1.71E-05,7.929979701,-18.71466521,0.3
